PC9,VS_GLOBAL,SKU_1_2_SEARS,SKU_2_2_LIVERPOOL,MARCA,GENDER ,COLLECTION,USE_TYPE,LINE,NAME,DESCRIPTION,EXTENDED_DESCRIPTION,MATERIAL,COLOR,SPANISH_COLOR,SHOOTING,STATUS
55100873,05510-0873,3833523,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",St Patricks Day Adv,Azul,SI,-
55100887,05510-0887,3833622,1080027833,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","75% Algod¢n, 24% Lyocell, 1% Elastano",Coho Creek ,Azul,SI,-
55100937,05510-0937,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",99% Algod¢n 1% Elastano,Sunshine ,Azul,SI,-
55100936,05510-0936,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",98%Algodon 2%Elastano,Crazy Train,Azul,SI,-
55100935,05510-0935,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",98%Algodon 2%Elastano,Free Bird,Azul,SI,-
55100933,05510-0933,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",89%Algodon 8%Elasterell 3%Elastano,Swet Home,Azul,SI,-
55100675,05510-0675,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Reznor,Azul,SI,-
55100856,05510-0856,3365097,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Cleaner Adv,Azul,SI,-
55100881,05510-0881,3839480,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","77% Algod¢n, 22% Poli‚ster, 1% Elastano",Mango Ultra Light Cool,Azul,SI,-
55100878,05510-0878,3365196,1079643149,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Kickflip Dark,Azul,SI,-
55100872,05510-0872,3833424,1080027744,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Green Beer Adv,Azul,SI,-
55100871,05510-0871,-,1080027655,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Rajah Adv,Azul,SI,-
55100882,05510-0882,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","77% Algod¢n, 22% Poli‚ster, 1% Elastano",Mango Mid Cool,Azul ,SI,-
LM5100012,LM510-0012,-,-,Levi's,Men's,Red Tab,B sico,Bottoms,510 Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",98% Algod¢nÿ 2% Elastano ,Red Tab Q,Azul Claro,SI,-
LM5100007,LM510-0007,-,-,Levi's,Men's,Red Tab,B sico,Bottoms,510 Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",99% Algodon 1% Elastano ,In Bloom,Azul Obscuro,SI,-
LM5100005,LM510-0005,-,-,Levi's,Men's,Red Tab,B sico,Bottoms,510 Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","98% Algod¢n ,  2% Elastano",Aries Verdoso 30,Azul Obscuro,SI,-
622090016,62209-0016,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Black   Stretch,Negro,SI,-
55100916,05510-0916,-,1079039519,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","94% Algod¢n, 3% Elafin, 2% Poliamida, 1% Elas",Quarter Baked,Negro,NO,-
55100879,05510-0879,-,1078945354,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Crash Adv,Negro,SI,-
55100934,05510-0934,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.",98% Algodon 2% Elastano ,Another Brick,Negro,SI,-
55100857,05510-0857,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,510_ Levi_s© Skinny Fit,"Pantal¢n de mezclilla, corte a la cadera, pierna ajustada hasta el tobillo, cierre en bragueta, cinco bolsillos.","El skinny fit para hombre- Nuestros 510 _ Skinny Fit jeans est n hechos para tener una apariencia contempor nea; adem s, este pantal¢n de mezclilla ha sido inyectado con stretch para una mayor movilidad.","99% Algod¢n, 1% Elastano",Stylo Adv,Negro,SI,-
798680002,79868-0002,4081981,1079004553,Dockers©,Men's,Red Tab,B sico,Tops, Softshell Stand Collar Vest,Chaleco Ligero de Softshell Dockers.,"El Softshell Stand Collar Vest es una pieza esencial para el exterior. Un dise¤o inteligente y una insulaci¢n baja te dan el calor que necesitas, sin bultos extras",100%  Poli‚ster,Heather Grey,Gris,SI,-
798680000,79868-0000,4081923,1079004502,Dockers©,Men's,Red Tab,B sico,Tops, Softshell Stand Collar Vest,Chaleco Ligero de Softshell Dockers.,"El Softshell Stand Collar Vest es una pieza esencial para el exterior. Un dise¤o inteligente y una insulaci¢n baja te dan el calor que necesitas, sin bultos extras",100%  Poli‚ster,Olive,Verde,SI,-
5590384,00559-0384,-,-,Levi's,Men's,Red Tab,B sico,Bottoms,559 Levi_s© Relaxed Fit,"Pantal¢n corte a la cadera
Relajado hasta lso muslos
Pierna recta
Cierre en bragueta
Cinco bolsillos
Mezclilla
100% Algod¢n",El Straight fit c¢modo. Los 559_ Relaxed Straight Jeans ajustan debajo de la cintura y son relajados de la cadera y muslos con pierna Straight.,"78% Algod¢n, 16% Poliamida, 4% Elamul, 2% Elas",Covered Up,Azul Medio,NO,-
5590340,00559-0340,-,-,Levi's,Men's,Red Tab,Moda,Bottoms,559_ Levi_s© Relaxed Straight,"Pantal¢n corte a la cadera,  relajado hasta los muslos,  pierna recta,  cierre en bragueta ,  cinco bolsillos.",El Straight fit c¢modo. Los 559_ Relaxed Straight Jeans ajustan debajo de la cintura y son relajados de la cadera y muslos con pierna Straight.,"98% Algod¢n, 2% Elastano",Cash,Azul,NO,-
5594010,00559-4010,-,-,Levi's,Men's,Red Tab,B sico,Bottoms,559 Levi_s© Relaxed Fit,"Pantal¢n,  mezclilla  100% algod¢n,  nacional, corte relajado, cierre en bragueta, cinco bolsillos,  pierna recta.",El Straight fit c¢modo. Los 559_ Relaxed Straight Jeans ajustan debajo de la cintura y son relajados de la cadera y muslos con pierna Straight.,100% Algod¢n,Tumbled Rigid,Azul Obscuro,NO,-
679320002,67932-0002,-,-,Dockers©,Women's,Red Tab,B sico,Tops,V-neck Sweater,"Su‚ter manga larga, cuello V, Dockers©",El V-Neck Sweater es tan vers til que lo podr s usar todos los d¡as.,"80% Algod¢n, 20% Poliamida",Lt Oatmeal Oatmeal,Avena,SI,-
679320003,67932-0003,-,-,Dockers©,Women's,Red Tab,B sico,Tops,V-neck Sweater,"Su‚ter manga larga, cuello V, Dockers©",El V-Neck Sweater es tan vers til que lo podr s usar todos los d¡as.,"80% Algod¢n, 20% Poliamida",Desert Pink,Rosa,SI,-
744490000,74449-0000,-,-,Levi's,Plus,Plus,B sico,Tops,Mallory Dress Plus,DROP,"EL vestido ideal para cualquier ocasi¢n,",100% Viscosa,Rosebud Caviar,Blanco,SI,-
527860019,52786-0019,3663665,1079843768,Dockers©,Women's,Red Tab,B sico,Bottoms,Weekend Short,"Short regular,Corte Boyfriend, Bolsas en diagonal al frente, Dockers©",El Weekend Short ideal para disfrutar tu fin de semana al m ximo.,"97% Algod¢n, 3% Elastano",Fay A Blue Ribbon,Azul ,SI,-
527860017,52786-0017,3663524,1079843679,Dockers©,Women's,Red Tab,B sico,Bottoms,Weekend Short,"Short regular,Corte Boyfriend, Bolsas en diagonal al frente, Dockers©",El Weekend Short ideal para disfrutar tu fin de semana al m ximo.,"97% Algod¢n, 3% Elastano",Baines A Egret,Blanco,SI,-
527860016,52786-0016,3663433,1079843580,Dockers©,Women's,Red Tab,B sico,Bottoms,Weekend Short,"Short regular,Corte Boyfriend, Bolsas en diagonal al frente, Dockers©",El Weekend Short ideal para disfrutar tu fin de semana al m ximo.,"97% Algod¢n, 3% Elastano",Snow,Blanco,SI,-
527860015,52786-0015,3663342,1079843491,Dockers©,Women's,Red Tab,B sico,Bottoms,Weekend Short,"Short regular,Corte Boyfriend, Bolsas en diagonal al frente, Dockers©",El Weekend Short ideal para disfrutar tu fin de semana al m ximo.,"97% Algod¢n, 3% Elastano",Salsa,Rojo,SI,-
393980022,39398-0022,-,-,Levi's,Women's,Red Tab,B sico,Tops,Cali Tee,"Playera, manga corta, cuello redondo,fit relajado, contraste de rayas blancas. ","Elaborada con material de alta calidad, esta Cali Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos","60% Algod¢n, 40% Modal",Aeriel White /Swim Blue,Azul claro ,SI,-
393980021,39398-0021,-,-,Levi's,Women's,Red Tab,B sico,Tops,Cali Tee,"Playera, manga corta, cuello redondo,fit relajado, contraste de rayas blancas. ","Elaborada con material de alta calidad, esta Cali Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos","60% Algod¢n, 40% Modal",Aeriel White /Lychee,Rojo,SI,-
393980023,39398-0023,-,-,Levi's,Women's,Red Tab,B sico,Tops,Cali Tee,"Playera, manga corta, cuello redondo,fit relajado. ","Elaborada con material de alta calidad, esta Cali Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos","60% Algod¢n, 40% Modal",Xenon Blue,Azul claro ,SI,-
393980018,39398-0018,4122892,1079737674,Levi's,Women's, Misses ,B sico,Tops,Cali Tee,"Playera, contraste de rayas rojas, manga corta, cuello redondo. ","Elaborada con material de alta calidad, esta Cali Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Modal",Aeriel Maritime Blue/Lychee,Azul Marino,SI,-
698660000,69866-0000,-,-,Levi's,Women's,Red Tab,B sico,Tops,Colorblock Weekend Crew,-,"Elaborada con material de alta calidad, esta Colorblock Weekend Crew te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos","85% Algod¢n, 15% Poli‚ster",Colorblock Weekend Crew Multicolor,Multi-color,SI,-
698920002,69892-0002,-,-,Levi's,Plus,Plus,B sico,Tops,Julie Tee Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Modal",Aeriel Maritime Blue / Lychee,Azul,SI,-
526070000,52607-0000,-,-,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Hazy Blue,Azul,NO,-
357900041,35790-0041,-,-,Levi's,Plus,Plus,B sico,Tops,Perfect Tee Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Plus Together White,Blanco,SI,-
698920001,69892-0001,-,-,Levi's,Plus,Plus,B sico,Tops,Julie Tee Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Modal",Aeriel White Plus / Mineral Black,Negro,SI,-
698890002,69889-0002,-,-,Levi's,Plus,Plus,B sico,Tops,Perfect Tee Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Mineral Black,Negro,SI,-
526070016,52607-0016,-,-,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Bemidji Sachet Pink,Rosa,SI,-
698890006,69889-0006,-,-,Levi's,Plus,Plus,B sico,Tops,Perfect Tee Plus,DROP,"Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Lemon Verbena,Verde,SI,-
563190005,56319-0005,3401700,-,Levi's,Plus,Plus,B sico,Tops, Relaxed Graphic Crew Plus,"Sudadera manga larga, cuello redondo, gr fico al frente. ","Elaborada con material de alta calidad, esta Relaxed Graphic Crew te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Poli‚ster",Plus Photo White,Blanco,SI,-
563190007,56319-0007,3401651,1079173720,Levi's,Plus,Plus,B sico,Tops, Relaxed Graphic Crew Plus,"Sudadera manga larga, cuello redondo, gr fico al frente. ","Elaborada con material de alta calidad, esta Relaxed Graphic Crew te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Poli‚ster",Plus Hsmk Crew Caviar,Negro,SI,-
563190004,56319-0004,-,1079173681,Levi's,Plus,Plus,B sico,Tops, Relaxed Graphic Crew Plus,"Sudadera manga larga, cuello redondo, gr fico al frente. ","Elaborada con material de alta calidad, esta Relaxed Graphic Crew te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","60% Algod¢n, 40% Poli‚ster",Plus Hsmk Crew Lychee,Rojo,SI,-
526070018,52607-0018,-,-,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,"Camisa, manga larga, fit relajado, bolsillo al frente, contraste a colores. ","Elaborada con material de alta calidad, esta Ryan One Pocket Boyfriend Plus te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Egret Passion Flower,Multi-Color,SI,-
526070013,52607-0013,-,1079173649,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,"Camisa, manga larga, fit relajado, bolsillo al frente, contraste de cuadros rojos y blancos. ","Elaborada con material de alta calidad, esta Ryan One Pocket Boyfriend Plus te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Linka Lychee,Multi-Color,SI,-
526070017,52607-0017,3943158,-,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,"Camisa, manga larga, fit relajado, bolsillo al frente, contraste de rayas blancas. ","Elaborada con material de alta calidad, esta Ryan One Pocket Boyfriend Plus te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Granite Cloud Dancer,Rosa,SI,-
526070015,52607-0015,3941243,1079175803,Levi's,Plus,Plus,B sico,Tops,Ryan One Pocket Boyfriend Plus,"Camisa, manga larga, fit relajado, bolsillo al frente, estampado de flores.","Elaborada con material de alta calidad, esta Ryan One Pocket Boyfriend Plus te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Rosebud Caviar,Negro,SI,-
322230570,32223-0570,-,-,Levi's,Women's,Red Tab,B sico,Tops,Slim Crew Neck Tee,"Playera, manga corta, gr fico al frente. ","Elaborada con material de alta calidad, esta Slim Crew Neck Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos",100% Algod¢n,Housemark Fill Slim Caviar,Negro,SI,-
396360020,39636-0020,-,-,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Sportswear Ssnl Arctic Blue Heather Graphic 29.2,Azul Claro,SI,-
396360016,39636-0016,-,1079041009,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Ssnl Sportswear Logo Artic Blue Graphic 3.2,Azul Claro,SI,-
396360015,39636-0015,-,1079040959,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Ssnl Sportswear Logo Dress Blues Graphic 3.1,Azul Marino,SI,-
396360011,39636-0011,3367192,-,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Sportswear Logo T3 White Graphic 1.2,Blanco,NO,-
396360019,39636-0019,-,-,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Sportswear Snnl White Graphic 29.1,Blanco,SI,-
396360000,39636-0000,-,1066065643,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,84 Sportswear Logo White White,Blanco,NO,-
396360010,39636-0010,-,-,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Sportswear Logo Midtone Heather Grey,Gris,NO,-
396360002,39636-0002,-,1066065694,Levi's,Men's,Red Tab,Moda,Tops,Sportswear Logo Graphic,"Playera cuello redondo,  gr fico al frente,  manga corta","Elaborada con material de alta calidad, esta Sporstwear Logo Graphic  te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Sportswear Logo Grey Midtone Grey,Gris,NO,-
295670007,29567-0007,-,-,Levi's,Women's,Red Tab,B sico,Tops,Surf Tee,"Playera tipo  crop, manga corta, cuello redondo, bordado en el frente. ","Elaborada con material de alta calidad, esta Surf Tee te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y pantalones de mezclilla fueron creados para combinarlos",100% Algod¢n,Lemon Verbena,Amarillo,SI,-
45054891,04505-4891,-,1071697321,Levi's,Big & Tall,Big & Tall,Moda,Bottoms,505_ Levi_s© Regular Fit Big & Tall ,"Pantal¢n de mezclilla,  cintura alta,  corte recto,  cierre en bragueta,  pierna regular,   cinco bolsillos.","Elaborados por primera vez en 1967, los 505 _ Regular Fit Jeans cuentan con la cremallera original adem s de que son una de nuestras opciones m s populares. Amados por su cl sico estilo de piernas rectas, son cortados para ajustar en la cintura, c¢modos en todo el asiento, el muslo y directamente hasta el tobillo. Este pantal¢n de mezclilla es ideal para todos los tipos de cuerpo.",100% Algod¢n,Med Sw,Medio,NO,-
