PC9,VS_GLOBAL,SKU_1_2_SEARS,SKU_2_2_LIVERPOOL,MARCA,GENDER ,COLLECTION,USE_TYPE,LINE,NAME,DESCRIPTION,EXTENDED_DESCRIPTION,MATERIAL,COLOR,SPANISH_COLOR,SHOOTING,STATUS
699780015,69978-0015,-,-,Levi's,Men's,Red Tab,Moda,Tops,Oversized Graphic Tee,"Playera manga corta,  cuello redondo.","­Luce incre¡ble con la Graphic Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,Lazy Tab White Graphic 49.1,Blanco,SI,-
589370035,58937-0035,4123072,1078741619,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Camisa, fit relajado, manga larga, bolsillo al frente, estampado de flores. ","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.","58% Algod¢n, 42% Modal",Sweet Bouquet Heavenly Pink,Rosa,SI,-
589370016,58937-0016,3403467,-,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Camisa, fit relajado, manga larga, bolsillo al frente. ","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Algod¢n,Hazy Blue,Azul Medio ,SI,-
589370015,58937-0015,-,1078638214,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Camisa, fit relajado, manga larga, bolsillo al frente. ","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Algod¢n,White X,Blanco ,SI,-
589370034,58937-0034,-,-,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Camisa, fit relajado, manga larga, bolsillo al frente. ","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.","58% Algod¢n, 42% Modal",Linka Cloud Dancer,Multi-Color,SI,-
589370044,58937-0044,4123139,1079737771,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Playera, fit relajado, cuello redondo, manga corta, bolsillo al frente, contraste de cuadros.","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Viscosa,Patridge Caviar,Multi-Color,SI,-
589370038,58937-0038,-,1079938866,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Playera, fit relajado, cuello redondo, manga corta, bolsillo al frente, contraste de cuadros.","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Algod¢n,Mcfarland Lychee,Multi-Color,SI,-
589370040,58937-0040,3403582,-,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Playera, fit relajado, cuello redondo, manga corta, bolsillo al frente, contraste de flores.","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Algod¢n,Little Buds Cloud Dancer,Multi-Color,SI,-
589370043,58937-0043,-,1079080101,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Playera, fit relajado, cuello redondo, manga corta, bolsillo al frente, contraste de flores.","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Viscosa,Rosebud Caviar,Negro,SI,-
589370036,58937-0036,3403524,1080118260,Levi's,Women's, Misses ,B sico,Tops,Ultimate Boyfriend,"Playera, fit relajado, cuello redondo, manga corta, bolsillo al frente, contraste de rayas blancas.","­Luce incre¡ble con la nuestra Ultimate Boyfriend Shirt! Se trata de una camisa de manga larga, confeccionada en un fit relajado que te ofrece comodidad y estilo; adem s cuenta con un bolsillo al frente y botones tipo ojal.",100% Algod¢n,Limestone Xenon Blue,Azul Claro ,SI,-
679830001,67983-0001,-,-,Levi's,Men's,Red Tab,Moda,Tops,Perfect Graphic Tee,"Playera manga corta,  gr fico al frente.","­Luce incre¡ble con la Short Sleeve Graphic Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","65% Algod¢n, 35% Poli‚ster",Sportswear Perfomance Navy Blazer Graphic 1.1,Azul Marino,SI,-
679830000,67983-0000,-,-,Levi's,Men's,Red Tab,Moda,Tops,Perfect Graphic Tee,"Playera manga corta,  gr fico al frente.","­Luce incre¡ble con la Short Sleeve Graphic Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","65% Algod¢n, 35% Poli‚ster",Logo Performance White Graphic 1.1,Blanco,SI,-
679830002,67983-0002,-,-,Levi's,Men's,Red Tab,Moda,Tops,Perfect Graphic Tee,"Playera manga corta,  gr fico al frente.","­Luce incre¡ble con la Short Sleeve Graphic Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.","65% Algod¢n, 35% Poli‚ster",Lazytab Performance Caviar Graphic 1.1,Negro,SI,-
698460000,69846-0000,-,-,Levi's,Men's,Red Tab,Moda,Tops,Short Sleeve L-Tab Tee,"Playera manga corta,  bloque de color con logo.","­Luce incre¡ble con la Short Sleeve L-Tab Tee! Elaborada con material de alta calidad, esta prenda te brindar  comodidad y estilo al mismo tiempo gracias a su cuello redondo as¡ como a su manga corta. Nuestras playeras y Pantal¢nes de mezclilla fueron creados para combinarlos.",100% Algod¢n,L-Tab White/ Lychee Panel Print ,Blanco,SI,-
